Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
38	709.8705	52.710243	764.0053	611.20026	1000.0	76.602745	9.547917	92.51754	40.79991	195000	4.5895576e-10	19.71549	-0.013795276	-11.905167	0.54386747	0.008645647	0.0828	79.0	169.10327577590942
39	740.52716	33.28787	782.79443	702.9589	1000.0	76.67488	10.322616	92.68842	38.063396	200000	-1.4537573e-08	14.527141	-0.014115343	-6.630991	0.5414588	0.0050777043	0.078	79.0	173.3606517314911
40	793.9392	10.435167	806.20435	774.75995	1000.0	80.56695	9.927138	93.81303	39.082233	205000	-2.2888185e-09	16.596544	-0.012759329	-12.814528	0.5377946	0.0069035133	0.093	79.0	177.66917061805725
41	770.6082	92.509224	837.1682	586.9535	1000.0	82.52208	10.047669	96.20554	43.296738	210000	-1.5205146e-08	51.954666	-0.012667453	-45.11949	0.51476836	0.0112095615	0.1226	79.0	181.96624112129211
42	724.59576	108.3431	831.5926	561.91547	1000.0	77.542175	12.548257	96.861305	40.376312	215000	1.0225177e-08	21.995586	-0.011007425	-14.329715	0.49030215	0.005973661	0.0698	79.0	186.21447610855103
43	757.0414	70.90898	867.1522	663.4358	1000.0	80.45302	13.104688	98.655464	40.359127	220000	-7.3850153e-09	26.358156	-0.012893604	-16.522062	0.491368	0.008917667	0.0712	79.0	190.57879424095154
44	753.3374	83.218864	845.21265	599.133	1000.0	79.24685	12.428382	98.47472	40.61093	225000	1.2772158e-09	15.22415	-0.017659666	-7.28725	0.48295203	0.012296143	0.1298	79.0	194.91911697387695
45	804.08606	32.581738	865.2451	772.9166	1000.0	83.42224	12.382142	98.1693	40.058044	230000	9.077787e-09	12.671021	-0.01406791	-6.1487613	0.44663465	0.009552629	0.0846	79.0	199.26179933547974
46	870.4069	29.409435	912.5893	838.6797	1000.0	88.97136	11.403389	100.57832	39.866505	235000	-1.9466876e-08	12.548799	-0.011946429	-10.644129	0.43891728	0.006774569	0.0748	79.0	203.6056432723999
47	811.11804	65.44385	882.55524	701.4115	1000.0	88.193825	13.135222	100.78499	41.649155	240000	-1.744032e-08	26.266386	-0.013540759	-21.90775	0.41672066	0.009698858	0.076	79.0	207.99659419059753
48	886.1139	17.261	909.3616	866.6497	1000.0	92.746124	11.764011	101.423904	39.6764	245000	-2.9051304e-08	6.883811	-0.0112186745	-5.449394	0.40483093	0.0064603835	0.0634	79.0	212.3077917098999
49	826.26855	82.57459	920.09863	693.52075	1000.0	90.18955	12.978824	100.45415	42.646214	250000	-1.7464162e-08	30.932753	-0.0120820785	-24.5032	0.38689637	0.011659714	0.091	79.0	216.68179607391357
50	875.8329	24.32496	907.9551	849.6135	1000.0	91.38638	12.824762	100.71706	38.689693	255000	1.1384487e-08	15.710962	-0.017059786	-12.220796	0.35790452	0.0068265535	0.0846	79.0	221.0853614807129
51	896.96405	14.3643675	911.97736	879.42615	1000.0	94.50058	11.293796	100.774574	40.81212	260000	-1.0535121e-08	3.5456696	-0.015853865	-1.9114878	0.3558221	0.008283545	0.0694	79.0	225.49889826774597
52	894.91046	24.26612	922.9959	856.58936	1000.0	94.11835	10.420593	100.619255	43.372757	265000	1.7148256e-08	3.173949	-0.015341359	-1.431326	0.32076597	0.0062828762	0.0838	79.0	229.8648965358734
53	906.9987	13.235074	922.0728	885.80035	1000.0	95.41045	10.302514	100.97349	41.68137	270000	-3.2663345e-09	2.3688827	-0.012347743	-1.967378	0.30571568	0.008181356	0.0758	79.0	234.14360523223877
54	892.3832	18.2478	916.5018	868.5642	1000.0	95.23607	10.253767	100.954544	45.66424	275000	3.6349892e-08	5.282375	-0.014676902	-2.6677754	0.26359972	0.0055956854	0.0478	79.0	238.4557921886444
55	882.7866	68.88619	921.46704	745.103	1000.0	94.68251	12.033698	100.69254	39.406773	280000	2.4288893e-09	27.388447	-0.012865959	-19.476032	0.2721176	0.004595257	0.0392	79.0	242.75822257995605
56	864.6141	108.331696	922.07196	648.0435	1000.0	92.0523	14.996463	100.9581	37.85321	285000	-6.842613e-09	12.208992	-0.01354687	-7.67826	0.2776084	0.0062792613	0.078	79.0	247.06673908233643
57	900.08594	22.388536	923.04944	857.964	1000.0	95.441475	10.505838	101.74672	43.671288	290000	-1.2502074e-09	5.2935486	-0.015307328	-2.6746638	0.2756245	0.008911076	0.0738	79.0	251.4592764377594
58	849.67126	119.99309	914.8787	609.9843	1000.0	91.41311	15.027737	101.60733	44.834496	295000	-1.4364719e-08	14.601003	-0.013443243	-9.422709	0.27271497	0.005083739	0.059	79.0	255.87717294692993
59	847.3324	132.5396	917.0467	582.3584	1000.0	93.22775	11.258712	101.27919	42.68599	300000	-1.3393164e-08	91.80034	-0.011397824	-82.285164	0.25689498	0.005386113	0.0522	79.0	260.2254419326782
60	908.092	10.411719	917.51685	889.2451	1000.0	95.26536	10.271077	100.92237	47.655437	305000	-5.7071445e-09	5.7558966	-0.010824903	-4.817558	0.28344652	0.005190193	0.0592	79.0	264.5991904735565
61	859.3284	113.74718	923.0933	632.21075	1000.0	91.41472	15.261625	101.50255	37.13532	310000	7.5295565e-09	15.009948	-0.015725266	-13.040675	0.27875352	0.007869063	0.0524	79.0	268.91523027420044
62	913.0389	5.0035048	918.64984	904.2602	1000.0	96.26304	9.549211	101.30287	41.598618	315000	2.616644e-09	0.9456771	-0.010019944	-0.5463158	0.28305423	0.007939857	0.0702	79.0	273.2419867515564
63	914.4474	9.333807	920.1368	895.87103	1000.0	96.29553	10.390776	100.98172	40.48646	320000	-1.527369e-09	4.8318477	-0.012594964	-4.216368	0.27438113	0.0072819977	0.0608	79.0	277.7182493209839
64	908.79333	5.2518554	916.07806	900.02203	1000.0	96.46485	8.622894	100.8385	43.799103	325000	-3.835559e-09	1.7862728	-0.011345963	-1.4725317	0.24688017	0.0066449875	0.052	79.0	282.01880526542664
65	908.79443	6.166884	917.3462	901.9783	1000.0	95.452866	10.369334	100.32706	43.614353	330000	-4.9859286e-09	3.4476328	-0.013076672	-2.8953118	0.25936177	0.007593215	0.0474	79.0	286.36273312568665
66	914.83905	3.8178625	920.6404	910.8237	1000.0	96.36584	9.235719	99.88037	42.387856	335000	1.00106e-08	1.0697491	-0.0117525235	-0.6053175	0.23546825	0.0075942804	0.137	79.0	290.7496383190155
67	918.1429	3.7190728	921.8752	912.02625	1000.0	96.955124	9.469801	101.021255	42.980347	340000	8.08239e-09	0.75173223	-0.010972535	-0.37361845	0.22791454	0.0042399215	0.0334	79.0	295.05883955955505
68	818.8988	204.44766	923.0765	410.0128	1000.0	90.74254	15.665394	100.73927	45.567554	345000	-3.708601e-08	113.55086	-0.01177005	-109.23894	0.22867908	0.010072063	0.0504	79.0	299.4674506187439
69	917.17413	11.491854	926.5064	894.66425	1000.0	96.30014	9.841188	101.33018	42.22428	350000	1.0603666e-08	3.135472	-0.0113422815	-2.6724753	0.2547681	0.004920937	0.0484	79.0	303.8058407306671
70	920.6247	5.9782166	927.3152	909.87366	1000.0	97.03877	9.1040125	101.39871	45.237114	355000	-1.8663704e-10	0.70847774	-0.009491097	-0.38023162	0.22713147	0.008619681	0.0524	79.0	308.20407795906067
71	916.7621	3.5833278	921.91693	910.9314	1000.0	96.92165	9.677978	101.697845	39.57513	360000	1.4102459e-08	0.36428946	-0.011759415	-0.107180774	0.21003819	0.0038500805	0.0318	79.0	312.5248508453369
72	917.1204	2.8317432	920.64703	912.5088	1000.0	96.64545	9.1306925	100.836105	46.23071	365000	3.863126e-09	0.41845286	-0.010907562	-0.13793945	0.17378698	0.0037467	0.0492	79.0	316.8528347015381
73	917.81396	11.908799	927.1419	894.63873	1000.0	96.94022	9.506767	101.36727	45.536507	370000	-1.4486909e-08	0.8105267	-0.010323652	-0.49913862	0.15183674	0.0065239435	0.0444	79.0	321.2166769504547
74	869.02325	98.77075	921.7777	671.5412	1000.0	93.38148	15.443413	100.82298	38.502884	375000	-1.1000037e-08	25.105062	-0.014925795	-15.755066	0.14273763	0.0043959864	0.033	79.0	325.60333275794983
75	919.7576	2.6309505	923.615	916.74786	1000.0	96.12633	11.788845	101.16779	37.93187	380000	-1.6123057e-08	18.251486	-0.009982877	-16.785284	0.15720092	0.0002065152	0.0292	79.0	330.03592801094055
76	920.2245	3.6000803	925.4483	914.64996	1000.0	97.08442	9.216731	101.06641	46.348476	385000	-1.924038e-08	1.5838366	-0.009671766	-1.1888794	0.13332832	0.004998434	0.0342	79.0	334.41312193870544
77	894.2023	40.45782	919.5394	813.5435	1000.0	95.57456	10.630601	100.78348	46.352566	390000	9.7543005e-09	9.564911	-0.014503417	-6.999949	0.1334449	0.0060951617	0.0438	79.0	338.7692725658417
78	919.0174	9.287602	929.47705	905.3137	1000.0	96.78614	9.809761	100.294075	46.352894	395000	-1.1901557e-08	1.1414037	-0.014026262	-0.8487363	0.15667127	0.008494914	0.0422	79.0	343.1745228767395
79	923.4002	3.6867564	928.69556	920.1235	1000.0	97.35115	9.029563	100.7331	47.71135	400000	1.33424995e-08	0.242231	-0.0108101	-0.17615095	0.12401688	0.0046989457	0.0348	79.0	347.5858516693115
80	905.49207	18.154322	921.92883	872.9796	1000.0	95.6695	10.387665	100.60646	45.518764	405000	-1.1564046e-08	5.152941	-0.004516445	-3.8931296	0.10492075	0.016259033	0.236	5.0	351.75995349884033
81	914.2938	12.809231	928.19714	893.9272	1000.0	96.55013	10.309165	100.37895	45.115925	410000	1.0120869e-08	1.1747146	-0.015469313	-0.617682	0.104035035	0.0039329636	0.0338	79.0	356.1548569202423
82	924.3661	1.7551472	926.6241	921.27264	1000.0	97.41451	9.070746	100.42313	43.21856	415000	4.5597552e-09	0.27021605	-0.009593554	-0.11447914	0.11145902	0.004581758	0.0422	79.0	360.52249217033386
83	922.035	2.4746535	925.1513	918.7912	1000.0	97.31885	9.009002	100.917046	46.353603	420000	-5.427748e-09	0.28283724	-0.010453366	-0.14463374	0.10613762	0.005790047	0.0436	79.0	364.8657853603363
84	917.6666	1.5025952	920.2023	915.8685	1000.0	97.02666	9.49081	100.37063	45.63471	425000	1.1190772e-08	0.46646482	-0.009487496	-0.3678919	0.113353245	0.003233229	0.021	79.0	369.2540626525879
85	914.275	9.487526	924.2063	897.4696	1000.0	96.35069	10.456562	100.45119	45.596855	430000	-3.33786e-10	3.7157655	-0.011089243	-3.0527086	0.11606407	0.0032708228	0.0378	79.0	373.69463872909546
86	800.9364	162.55809	923.9399	499.31012	1000.0	90.29119	14.023219	100.40755	45.75399	435000	1.5884638e-08	98.45662	-0.018145246	-80.875305	0.07878494	0.010198186	0.074	79.0	377.94739866256714
87	920.84357	2.9723482	924.5013	916.6589	1000.0	96.54744	11.516488	101.69726	38.352345	440000	-8.267164e-09	6.6455655	-0.01237262	-6.2496	0.10759211	1.7370665e-05	0.0366	79.0	382.3569486141205
88	921.76984	3.3526902	926.4206	917.02325	1000.0	97.24027	9.370409	101.4855	39.564533	445000	2.847612e-09	0.57406133	-0.006281381	-0.27739123	0.06604802	0.016065592	0.2688	13.0	386.5521311759949
89	921.9271	3.9305544	928.1008	916.3684	1000.0	97.44168	9.228122	101.26426	45.278454	450000	-2.1129847e-09	0.25486296	-0.0025505724	-0.11772214	0.063831925	0.01538685	0.2468	4.0	390.537296295166
